"$__","$isNew","_doc"
"{""activePaths"":{""paths"":{""status"":""init"",""price"":""init"",""category"":""init"",""product_description"":""require"",""product_name"":""init"",""_id"":""init"",""createdAt"":""init""},""states"":{""require"":{""product_description"":true},""init"":{""_id"":true,""product_name"":true,""category"":true,""price"":true,""status"":true,""createdAt"":true}}},""skipId"":true,""selected"":{""product_name"":1,""category"":1,""price"":1,""status"":1,""createdAt"":1},""exclude"":false}",false,"{""_id"":""637b5531f013bd796c7be673"",""product_name"":""S4"",""category"":""Audi"",""price"":""$13911809.77"",""status"":""Deleted"",""createdAt"":""2021-02-24T08:48:26.000Z""}"
"{""activePaths"":{""paths"":{""status"":""init"",""price"":""init"",""category"":""init"",""product_description"":""require"",""product_name"":""init"",""_id"":""init"",""createdAt"":""init""},""states"":{""require"":{""product_description"":true},""init"":{""_id"":true,""product_name"":true,""category"":true,""price"":true,""status"":true,""createdAt"":true}}},""skipId"":true,""selected"":{""product_name"":1,""category"":1,""price"":1,""status"":1,""createdAt"":1},""exclude"":false}",false,"{""_id"":""637b5531f013bd796c7be676"",""product_name"":""900"",""category"":""Saab"",""price"":""$27920738.70"",""status"":""Available"",""createdAt"":""2015-05-05T19:00:44.000Z""}"
"{""activePaths"":{""paths"":{""status"":""init"",""price"":""init"",""category"":""init"",""product_description"":""require"",""product_name"":""init"",""_id"":""init"",""createdAt"":""init""},""states"":{""require"":{""product_description"":true},""init"":{""_id"":true,""product_name"":true,""category"":true,""price"":true,""status"":true,""createdAt"":true}}},""skipId"":true,""selected"":{""product_name"":1,""category"":1,""price"":1,""status"":1,""createdAt"":1},""exclude"":false}",false,"{""_id"":""637b5531f013bd796c7be67a"",""product_name"":""Boxster"",""category"":""Porsche"",""price"":""$36294238.41"",""status"":""Out of Stock"",""createdAt"":""2022-09-04T21:00:30.000Z""}"
"{""activePaths"":{""paths"":{""status"":""init"",""price"":""init"",""category"":""init"",""product_description"":""require"",""product_name"":""init"",""_id"":""init"",""createdAt"":""init""},""states"":{""require"":{""product_description"":true},""init"":{""_id"":true,""product_name"":true,""category"":true,""price"":true,""status"":true,""createdAt"":true}}},""skipId"":true,""selected"":{""product_name"":1,""category"":1,""price"":1,""status"":1,""createdAt"":1},""exclude"":false}",false,"{""_id"":""637b5531f013bd796c7be67b"",""product_name"":""H1"",""category"":""Hummer"",""price"":""$3469941.51"",""status"":""Available"",""createdAt"":""2010-04-13T01:49:54.000Z""}"
"{""activePaths"":{""paths"":{""status"":""init"",""price"":""init"",""category"":""init"",""product_description"":""require"",""product_name"":""init"",""_id"":""init"",""createdAt"":""init""},""states"":{""require"":{""product_description"":true},""init"":{""_id"":true,""product_name"":true,""category"":true,""price"":true,""status"":true,""createdAt"":true}}},""skipId"":true,""selected"":{""product_name"":1,""category"":1,""price"":1,""status"":1,""createdAt"":1},""exclude"":false}",false,"{""_id"":""637b5531f013bd796c7be67c"",""product_name"":""Monterey"",""category"":""Mercury"",""price"":""$8589479.76"",""status"":""Out of Stock"",""createdAt"":""2017-04-23T04:21:00.000Z""}"
"{""activePaths"":{""paths"":{""status"":""init"",""price"":""init"",""category"":""init"",""product_description"":""require"",""product_name"":""init"",""_id"":""init"",""createdAt"":""init""},""states"":{""require"":{""product_description"":true},""init"":{""_id"":true,""product_name"":true,""category"":true,""price"":true,""status"":true,""createdAt"":true}}},""skipId"":true,""selected"":{""product_name"":1,""category"":1,""price"":1,""status"":1,""createdAt"":1},""exclude"":false}",false,"{""_id"":""637b5531f013bd796c7be67e"",""product_name"":""LX"",""category"":""Lexus"",""price"":""$46811373.13"",""status"":""Deleted"",""createdAt"":""2008-07-30T20:41:25.000Z""}"
"{""activePaths"":{""paths"":{""status"":""init"",""price"":""init"",""category"":""init"",""product_description"":""require"",""product_name"":""init"",""_id"":""init"",""createdAt"":""init""},""states"":{""require"":{""product_description"":true},""init"":{""_id"":true,""product_name"":true,""category"":true,""price"":true,""status"":true,""createdAt"":true}}},""skipId"":true,""selected"":{""product_name"":1,""category"":1,""price"":1,""status"":1,""createdAt"":1},""exclude"":false}",false,"{""_id"":""637b5531f013bd796c7be680"",""product_name"":""Eurovan"",""category"":""Volkswagen"",""price"":""$44602814.51"",""status"":""Out of Stock"",""createdAt"":""2020-01-16T18:58:11.000Z""}"
"{""activePaths"":{""paths"":{""status"":""init"",""price"":""init"",""category"":""init"",""product_description"":""require"",""product_name"":""init"",""_id"":""init"",""createdAt"":""init""},""states"":{""require"":{""product_description"":true},""init"":{""_id"":true,""product_name"":true,""category"":true,""price"":true,""status"":true,""createdAt"":true}}},""skipId"":true,""selected"":{""product_name"":1,""category"":1,""price"":1,""status"":1,""createdAt"":1},""exclude"":false}",false,"{""_id"":""637b5531f013bd796c7be685"",""product_name"":""Previa"",""category"":""Toyota"",""price"":""$34334680.29"",""status"":""Available"",""createdAt"":""2017-11-25T11:39:54.000Z""}"
"{""activePaths"":{""paths"":{""status"":""init"",""price"":""init"",""category"":""init"",""product_description"":""require"",""product_name"":""init"",""_id"":""init"",""createdAt"":""init""},""states"":{""require"":{""product_description"":true},""init"":{""_id"":true,""product_name"":true,""category"":true,""price"":true,""status"":true,""createdAt"":true}}},""skipId"":true,""selected"":{""product_name"":1,""category"":1,""price"":1,""status"":1,""createdAt"":1},""exclude"":false}",false,"{""_id"":""637b5531f013bd796c7be68a"",""product_name"":""Explorer Sport"",""category"":""Ford"",""price"":""$46655645.10"",""status"":""Available"",""createdAt"":""2010-03-21T05:30:06.000Z""}"
"{""activePaths"":{""paths"":{""status"":""init"",""price"":""init"",""category"":""init"",""product_description"":""require"",""product_name"":""init"",""_id"":""init"",""createdAt"":""init""},""states"":{""require"":{""product_description"":true},""init"":{""_id"":true,""product_name"":true,""category"":true,""price"":true,""status"":true,""createdAt"":true}}},""skipId"":true,""selected"":{""product_name"":1,""category"":1,""price"":1,""status"":1,""createdAt"":1},""exclude"":false}",false,"{""_id"":""637b5531f013bd796c7be68f"",""product_name"":""Quattroporte"",""category"":""Maserati"",""price"":""$41799714.30"",""status"":""Deleted"",""createdAt"":""2011-03-25T12:32:03.000Z""}"
